Incident ID,Original Incident Number,Summary
INC000018580148,,user can't open external webpage:the external webpage isn't approved by our IT department#
INC000018580581,,Microsoft Teams - Unable to login#
INC000018580897,,Microsoft Teams#
INC000018580917,,"User's Microsoft teams not working, once user call, it is disconnect automatically#"
INC000018580921,,Question regarding Team Room owner#
INC000018581012,,MICROSOFT TEAMS access request#
INC000018581260,,Microsoft Teams - Unable to sign in#
INC000018581266,,MS Tams - Calendar not visible#
INC000018581477,,You have been added as a guest to General-Technic in Microsoft Teams#
INC000018581780,,Apply to access client's website.#
INC000018582473,,Termine für andere Personen erstellen#
INC000018582608,,user can not login#
INC000018582959,,O365 - Microsoft Teams 365 - Meeting setting#
INC000018583206,,Meeting Problem#
INC000018583832,,Ticket Microsoft tenant#
INC000018584047,,keine Meeting über Outlook erfolgreich#
INC000018584088,,Cannot open shared video via MS teams MS stream.#
INC000018584149,,Login issues with MS Teams#
INC000018584969,,MS teams problems#
INC000018585207,,MS Teams - camera and mute options or setting disappear while on meeting#
INC000018585640,,Team Room#
INC000018586318,,Can the MoR be changed when creating a new group#
INC000018586325,,Team Room creation closed but not found#
INC000018586766,,Software Installation in Virutal desktop : Microsoft Teams#
INC000018586877,,MICROSOFT TEAMS access request#
INC000018587702,,Microsoft Teams (install) - no container#
INC000018587744,,MS Teams - unable to login#
INC000018588119,,"Idm reporting - issue with MoR for MS teams room ""All Things IDE""#"
INC000018588138,,MS Teams - Request Enable MS Teams for my user id MOV3NH#
INC000018588238,,"MICROSOFT TEAMS - You're missing out, Ask your administrator to enable Microsoft teams#"
INC000018588515,,MS teams - query on how to create a Team#
INC000018588757,,Keine Berechtigung auf eigenen Sharepoint / No authorisations on own Sharepoint#
INC000018588779,,Microsoft Teams doesn't work any more#
INC000018588796,INC000018352002,MS Teams cannot connect to Server when Symantec Endpoint Protection is running#
INC000018588855,,Microsoft Office 365 EAN (Early Adopter Network) Request#
INC000018588990,,MS Teams - unable to login#
INC000018589007,,Teams Termine können nicht für den Chef erstellt werden#
INC000018589077,,Unable to connect to Microsoft Teams#
INC000018589644,,MS TEAMS - Changing profile picture.#
INC000018589778,,Call kann nicht erstellt werden#
INC000018589808,,Microsoft Teams - Request to create team#
INC000018590411,,1XUNR MS teams - unable to sign in#
INC000018590453,,"Can only use the web version to join the meeting, and no sound can be heard#"
INC000018590494,,MS teams - unable to sign in#
INC000018590982,,Microsoft Teams - Request to set up meeting#
INC000018591143,,11347252 Status und Anfrage#
INC000018591385,,Create new team not possible#
INC000018591575,,Teams Raum Problem#
INC000018592148,,Login to MS teams with different company not working#
INC000018592173,,MS Teams  Create team from scratch  user rights#
INC000018593234,,kann nicht Microsoft 365 EAN über den ITSP zuweisen da er externen Mitarbeiter ist#
INC000018593277,,Probleme mit der Audioqualität im Teams#
